sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
CIDEB	0.0814619	0.198637	0.7383	0.598632	0.639915	0.671065	0.910003	0.477521	0.976043	0.391516	0.420542	0	0.178864	0.974079	0.951877	0.995255	0.662812	0.397309	0.424687	0.323938	0.269879	0	0	1.49092
CIDEC	2.33312	2.248173	1.3345044788	2.23659	0.272111	0.903714	1.571875	0.916047	0.998537	2.717251	2.8699	2.027338	1.71022	1.349322	1.37485242161	1.192707	1.511911	2.138418	1.6487	0.534347	2.86669	0.342684	1.855365	2.296254
CIITA	0.190843	0.0392719	0.285261	0.155634	0.0824119	0.129587	0.0438383	0	0	0	0.163207	0.109804	0.137997	0.113416	0.290294	0.153271	0.0871526	0.076478	0.0423696	0.217159	0.0503422	0.0509496	0.177839	0.0554706
CILK1	3.82222	5.0689291	4.28879	4.94029	6.148247	6.160719	4.006472806	5.05981	4.870215	6.32882	4.13212	4.835549	4.058402	3.80312	4.43097	3.74702	4.191118007	4.09654	2.5976	4.8501	4.850406	4.67623	5.82546	6.106644
CILP	0.152964	0.238554	0.14441	0.157571	0.45892	0.087469	0.133156	0.140809	0.284987	0.075118	0.0826206	0.629983	0.279439	0.114829	0.257187	0.193981	0.132351	0.193582	0.729196	0.157053	0.152927	0.154771	0.240106	0
CILP2	2.82983	3.48667	1.87936	2.56409	1.0497	2.16277	1.69427	2.03641	2.43099	1.69342	2.58093	2.8937	1.57579	1.9264	1.40195	2.55783	1.41718	2.68693	1.6392	1.58018	1.06024	1.52023	2.54856	1.55757
CINP	64.23554	48.46624	37.75501	46.59994	33.33464	44.17067	59.05058	41.74539	55.40976	33.79666	32.45394	41.41973	37.51242	62.05047	35.11205	55.08768	34.79509	64.98312	35.16792	49.81014	31.59383	42.05204	37.74329	41.69186
CIP2A	0.201086	0.104428	0.379984	0.414318	0.823334	0.287714	0.525654	0.308648	0.750149	0.296937	0.271657	0.34127	0.137884	0.453064	0.87101	0.86797	0.811289	0.713323	0.562909	0.66164	0.336235	0.272186	0.554541	0.741108
CIPC	126.33823	123.4809	109.344800013083	113.0457	103.29506	134.574000049828	118.816483	124.719837	132.6310670013	118.7990257367	128.231193	130.261027	114.925136357	142.870100000404	148.585000029147	152.167522	130.08478	124.36595	124.9970163037	119.34442118757	145.6153339	112.7570398821	153.36426	115.8503
CIR1	27.9353	23.370183	30.0014	33.1772	18.1425	31.0745	27.81	29.4514	23.9332	26.4144	24.608	33.3206	27.468	35.1231	26.2952	32.2992	24.4493	23.135	17.9805	25.4554	30.1555	30.7357	30.1728	28.464
CIRBP	113.04448	68.64426	72.50721	99.46569	84.69312	58.56397	71.88204	106.1339	73.34515	65.40143	115.77029	71.6569	69.5804	68.89527	178.1251	110.42214	122.3135	92.00955	100.46066	76.2731	55.86892	36.44423	62.61109	64.30923
CIROP	0.0319646	0.0786797	0	0.0782218	0	0	0	0	0	0	0	0.147483	0	0	0.14673	0	0	0	0	0.0626425	0	0.103494	0	0
CISD1	41.2008	53.816	53.6373	56.7933	70.5391	77.3338	58.6272	57.6442	69.7395	64.5541	71.7748	56.8636	76.093	50.7859	77.9267	64.5628	68.4483	71.6674	42.5944	77.7582	77.2957	69.4511	82.4454	60.401
CISD2	157.924	135.186	107.368	128.703	115.281	76.5495	123.939	114.199	83.0179	75.2322	105.27	96.0004	102.711	127.536	90.7745	130.745	107.592	114.483	124.81	100.651	116.256	113.86	99.5862	166.232
CISD3	82.5604	75.5803	92.5206	106.954	105.749	73.8394	98.0017	72.461	77.5526	87.0847	90.8578	89.1397	86.7283	112.76	56.0113	73.7241	143.548	93.3299	85.0661	59.6855	77.813	97.5272	76.3043	73.7119
CISH	4.26965	3.74787	4.0364	3.27786	2.92521	4.8906	5.13332	5.95323	4.7752	4.36038	2.58084	3.44056	3.37701	3.11582	1.81568	2.86961	3.4953	4.40558	2.58255	2.92209	2.43354	3.4464	3.21335	2.46817
CIT	10.426	30.5766	39.1954	13.5929	17.3702	8.99688	11.4167	8.41227	10.6431	15.2984	20.3268	16.416	24.5109	9.91607	15.7318	16.5039	13.8505	13.151	11.8252	18.9423	17.5581	19.1414	16.6084	16.0628
CITED1	17.096766	11.20876	16.388219	18.52011	18.84146	20.41949	13.79978	18.17978	19.90672	24.78205	20.372569	32.10406	10.67361	9.97254	16.135312	16.303646	24.38124	32.53908	11.8128	20.25765	20.826677	21.305162	25.14034	23.44031
CITED2	37.2787	51.6139	66.605	56.3197	70.3272	94.979	68.7632	57.1041	92.3627	75.8579	93.6252	82.1479	88.7391	60.4936	85.9106	80.0648	71.3727	96.6329	66.1464	100.353	110.5	76.0682	82.0362	77.6065
CITED4	0.545642	0.267411	7.63153	0.935013	0.853478	0.596735	2.72768	0.797972	0.324761	0.388673	0.842891	1.26305	0.119209	1.43167	0.884029	0.795433	0.445766	0.529155	1.7217	1.39927	0.887242	1.43484	0.41928	0.391578
CIZ1	61.251946	55.15244	48.641586	55.59945	43.89748	37.6356	45.15675	45.65371	46.50644	44.504431	57.8188	44.003896	42.00622	52.48782	43.15529	50.32556	57.93253	58.430619	52.853732	51.28205	40.09065	42.16224	41.31058	45.450666
CKAP2	2.91689	3.87462	4.17904	4.65592	7.66091	4.36748	2.01456	2.74179	3.81863	2.19798	2.98054	2.65274	3.06403	2.44593	2.11721	3.20789	3.17624	3.13861	2.43257	2.78501	2.74212	6.10073	2.58517	2.95882
CKAP2L	0.139823	0.137777	0.125638	0.0684289	0.217783	0.228332	0	0.163204	0.0827159	0	0.143648	0	0	0.0665469	0.128179	0	0.0764761	0.0674124	0	0.10948	0.0892626	0	0	0.0983964
CKAP4	27.4788	32.0437	24.2993	25.9763	25.711	15.3816	24.3248	20.6413	25.4551	30.818	20.6695	19.6211	18.5436	13.0531	30.3751	17.3793	42.3511	28.8717	32.1786	19.4994	16.2926	23.0264	24.175	24.5591
CKAP5	28.7703900108984	31.2518800062237	35.324954	33.120042	46.5613724	49.79493598931	45.1424022372576	38.68028	46.221372	47.7816934917104	42.5337665521184	49.0228100002322	49.049959379	43.71856	55.0818409769488	49.45357	44.55573	49.450122	41.77987985	48.0556300036488	52.73297622	50.9030100038337	43.03431	44.325302935859
CKB	1147.76	1778.71	1621.03	1189.65	1161.32	957.83	1262.11	1216.15	985.159	1109.71	1253.45	1374.63	1563.93	1711.92	1018.89	1147.69	1285.07	1175.91	1211.52	1190.12	1182.03	1330.65	998.099	1239.6
CKM	3.45349	67.7322	18.9846	14.043	45.6012	12.8883	56.0237	61.7762	66.9548	17.2072	12.9413	12.1382	45.7126	53.5344	27.7788	105.597	114.607	120.32	59.9762	11.8045	13.1078	50.1325	56.5056	59.2434
CKMT2	5.33599	38.55	25.3257	15.1112	26.5125	17.2108	28.3561	26.2888	27.7555	20.1109	15.8802	13.0458	24.3285	25.9577	31.2133	59.6514	63.0322	49.1776	66.795	13.703	15.6596	31.0913	26.8853	25.2795
CKS1B	4.10637	3.95628	3.30514	3.87107	3.83561	4.27773	2.6209	2.71535	4.47097	3.43482	3.75617	3.71614	2.59336	4.31836	3.43524	5.07724	3.62918	3.27554	3.84643	4.06185	4.31675	4.29333	3.86765	4.00717
CKS2	17.6897	8.59754	17.6611	17.4083	16.242	23.4423	25.4369	9.62673	16.2259	15.3888	17.9211	12.4792	15.9361	10.0722	15.155	13.5517	9.57374	12.5813	15.6392	14.2308	14.6566	18.9093	11.6913	9.85424
CLASP1	16.752776760236	19.4446108733	17.6424988566	17.1459336367685	15.7763154926282	19.1848148116114	15.19282606267	14.4559570776072	18.0669198125821	19.8905572928777	20.5008928867488	18.583721023334	20.623429367103	11.7446526820817	19.650662288585	16.326014941468	16.1582333197036	18.1110671537936	14.0612495405716	16.8646168280719	21.726696041017	19.6119370458787	22.1404919129247	16.581469057704
CLASP2	59.149935960744	70.8831377749837	76.3294700757442	65.745262773265	93.827074918645	86.9872397	73.6372400843506	69.3515023601923	94.412079522	84.456438	88.095266	81.905914001355	91.136284046	67.61715219098	97.7651707767432	81.04334346	69.989294812415	86.7181958114734	58.30246964977	98.30194008657	112.947424000483	90.7620680033846	95.020718820221	90.0796573
CLASRP	48.87912	38.7896	31.04993	39.57388	26.5103	33.03153	44.91907	40.48789	30.97685	28.56575	42.78358	36.147409	25.44585	40.48738	37.484385	33.63756	34.31935	42.91477	34.71678	30.89685	25.44656	26.31571	31.66376	28.8577
CLCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103061	0	0	0	0	0	0	0.217477	0	0
CLCA2	0.0109328	0	0.147214	0.1605	0	0.0594494	0	0	0	0.204558	0.0561283	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCC1	18.2567565	17.58929	18.568986	18.935037	23.774921533001	20.240969	20.123055	16.78141	19.6386336	22.0878060147542	19.680379	21.893096	15.36418	19.443396	20.413549	23.89919368	18.09826	20.357893472	17.2361600006784	20.11733491	20.338224	14.038135	22.01445	20.217945
CLCF1	3.112032	1.944487	4.947231	0.932425	0.173473	5.548686	3.038466	4.505994	2.986395	1.932477	2.897563	1.136599	3.120139	3.330823	0.407914	3.731339	3.115906	2.191268	3.239819	2.528944	2.84762	2.327148	0.751634	6.093768
CLCN1	0.00938087	0.13891	0	0	0.243167	0.0509834	0.155236	0.218815	0.332273	0.131453	0.0962943	0.0863952	0.0814415	0.446108	0.0428531	0.542783	0.719379	0.406249	0.149806	0	0.0595068	0.180657	0.350439	0.393451
CLCN2	16.10985	25.814395	19.756727	16.5524	21.242395	11.056058	21.00391	20.024539	14.713051	12.90005	18.75858	17.75524	18.821738	24.7926	18.51574	18.14483	18.7163	16.771992	18.61682	17.13398	21.83391	18.62427	14.89292	19.80146
CLCN3	22.308441	31.650174	40.2110167	36.4410409348	57.094335	50.136419	36.4463076221506	35.164981399	48.652838633	45.6974319	46.9050011	42.97972	44.75104	32.8396036885	59.4749276	46.5753933	42.11328	49.89277	32.448735695	56.342729	62.5148898	47.02066	59.32651	45.60402016
CLCN4	49.4625	55.4754	64.611	65.9288	76.0828	73.1034	73.341	64.597	82.6387	83.8513	69.3763	66.3487	74.9749	64.3934	76.3515	69.0726	79.0253	71.6091	72.7665	74.4999	73.4448	80.2579	86.5242	65.9362
CLCN5	2.18981	1.35616	1.96271	2.44825	1.88008	2.61543	1.60359	1.97205	2.51569	2.06424	1.59214	1.86752	1.24472	1.61061	2.06033	1.66534	1.31317	2.17695	1.28896	1.60986	2.19107	1.89592	2.08602	1.85272
CLCN6	61.5039	52.6641	53.5744	61.282	53.6159	60.6799	55.0986	52.6114	59.053	58.4474	58.8912	55.401	50.758	53.0355	67.3219	62.5319	56.4265	57.814	68.6929	54.7275	55.0392	60.887	58.1181	54.5217
CLCN7	101.868	91.8628	80.8636	99.3377	80.441	70.4151	93.4527	99.7992	89.2329	78.7888	86.4609	81.3366	79.053	76.4285	89.7319	97.2749	96.7515	92.2056	101.513	79.6293	81.0876	86.0994	88.1078	90.1572
CLCNKB	0.118603	0.116967	0	0.0580401	0	0.0645131	0.130969	0.138384	0	0.2221	0	0.109311	0.154591	0.106959	0	0	0.129828	0.0571298	0	0	0.150986	0	0.355814	0
CLDN1	0.678953	0.887889	0.524403	0.616048	0.559386	0.781881	0.843149	0.786552	1.64542	1.51164	1.38456	0.993734	1.13188	0.256573	1.14991	1.17054	1.62573	2.20647	0.383057	0.982937	1.36834	1.21166	3.08879	0.628268
CLDN11	78.9767	81.9449	166.313	89.5282	160.655	23.3931	24.419	24.0608	10.3161	23.7657	15.5955	41.7767	22.6658	61.9849	14.9712	11.5106	16.767	19.81	13.8748	29.3477	13.3779	21.3587	14.8647	21.3328
CLDN12	18.65393	25.87632	30.92696	27.1915	36.2023	38.642	26.67717	26.88735	29.0515	36.9062	32.3808	30.17038	28.65849	26.8303	39.8937	38.8408	23.44492	28.1344	22.04781	40.534	39.2283	27.59746	33.7268	33.27574
CLDN14	0	0	0	0.309289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN15	1.21975	0.442303	1.22403	1.17974	0.943025	0.164848	1.17229	0.705071	0	0.4302	0.620645	0.558196	0.263472	1.58124	0.558837	1.4653	0.819414	0.731076	3.95209	0.714113	1.37675	1.19251	0	2.38756
CLDN16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN19	0.487708	0.843123	0	0.280932	0.149647	0.156951	0.318876	0	0	1.36416	0.591051	1.32873	0.125421	0.821377	0	0.278986	0.31236	1.11355	0	0	0.56091	0.18896	0.220943	0.412631
CLDN2	0.541059	0	0.290612	0	1.34311	0	0.358088	0	0	0	0.65749	3.26119	0	0	0	0.3134	0	2.81851	0	0	0	0	0.515172	0.478432
CLDN20	0.541912	1.06054	0.156591	0.168973	0.448197	0.0908296	0.274302	0.515787	0.294207	0.486723	0.256159	0.610082	0	0.798513	0.954539	0.75471	0.368172	0.168769	0.265026	0.985439	0.44154	0.219022	0.376078	0.378843
CLDN23	0.185528	0.164895	0	0	0.52872	0	0	0	0	0	0.1739	0	0.147746	0	0.627609	0	0.733374	0	0.17663	0.133587	0	0	0	0
CLDN25	0	0	0	0	0	0	0	0	0	0	0.361771	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN3	0.398553	0	0.156729	0	0.181812	0	0	0.202999	0.206975	0	0	0.482406	0.45554	0.496649	0	0	0.188313	0	0.181358	0	0.227794	0	0	0.251472
CLDN34	14.6328	10.3769	0.950826	0	0	0	11.9967	0	10.1477	0.506012	4.63937	11.3155	9.00799	22.1825	4.51715	4.29551	8.43639	10.8003	3.47589	9.16696	3.29605	10.3145	7.65079	7.84628
CLDN4	0.050704	0	0.921346	0	0	0	0	0	0	0	0	0	0	0	0.476156	0	0	0.248261	0.263221	0.20247	0	0	0	0.751952
CLDN5	108.176	88.2482	54.3418	53.6994	46.6924	33.325	40.9396	48.5387	56.4061	49.8615	32.146	42.0339	26.1486	55.1847	22.9047	27.6138	23.0461	33.7599	28.1151	54.8765	38.5472	38.648	45.8404	48.397
CLDN6	1.5505	1.01583	0.930769	1.21435	0.646825	1.01511	0.801742	0.362381	0.122673	1.85389	1.16956	1.24175	0.720899	0.689559	0.285686	0.400678	1.01549	2.09913	0.655235	0.324998	0.666084	1.34709	0.943222	0.734583
CLDN7	7.0997092	6.902116	6.956975	5.10185	4.45776	5.57276	6.55044	6.39196	7.083518	8.580164	4.57916	7.79106	7.06613	6.06519	8.25149	9.69785	6.396084	8.43897	4.771105	6.55596	9.97756	8.30166	11.755	7.83938
CLDN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06751	0
CLDN9	0.875507	0	0	0.153108	0.327591	0	0	0.18304	0.186446	0	0.644496	0.289863	0	0	0.435517	1.36985	0	0.607511	0.163998	0.12365	0.409058	0	0	0
CLDND1	33.410106	42.63203	55.705342	47.856272	43.15877	44.541998	37.830839	35.42202	42.73701	49.579479	46.97409	51.721132	48.650465	41.375307	44.74018	46.02028	39.92757	40.238429	33.10439	59.388493	48.781236	49.229507	53.395013	48.686912
CLEC11A	11.07734	7.09899	8.67989	6.95678	2.980384	3.1423	6.56007	4.032924	6.86884	4.89064	5.02525	6.18113	4.5098	7.16412	7.08579	6.28257	6.68938	6.95673	6.66803	5.58663	5.15362	6.17654	5.57841	6.44008
CLEC12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC14A	3.48844	3.6446	3.03342	4.02681	2.65048	2.33079	1.00116	1.34504	2.14398	2.0114	4.05904	2.96138	2.22003	1.88039	1.66235	2.5467	3.32739	3.0973	3.57402	1.87087	1.89738	2.23905	3.85333	2.32433
CLEC16A	178.13632	53.70857	95.52049	146.472139	135.28966	178.45021	151.52902	161.69371	189.03008	180.54267	131.070714	93.830029	112.02722	152.4369	90.67841	88.63257	166.59228	150.39538	225.70372	135.03596	82.85559	238.42376	139.35144	111.26813
CLEC17A	3.410244	0.759198	2.78531	1.08109	1.8573	0.602739	1.84354	0.903503	0.418568	1.159027	1.70416	1.42916	4.43044	1.0561	3.111354	2.0344	2.086476	1.24903	1.74824	1.504449	4.046202	1.817317	0.358719	2.62446
CLEC1A	0.48234	0.962607	0	0	0.519048	0	0	0	0	0.478619	0	0.230044	0	0	0	0	0	0	0	0	0.278366	0	0.787035	0.366301
CLEC1B	0.227528	0	1.55443	1.3967	0	0	0	0	0.342804	0.276827	0.588115	0.529517	0.251012	0.272745	1.34102	0.558982	0	0	0	0.227802	0	0	0	0
CLEC20A	0.0363497	0.0893953	0	0	0.0944875	0	0.301785	0	0	0	0	0.251738	0	0.086565	0	0.0879683	0	0	0	0	0.116708	0	0	0.128688
CLEC2L	215.189	188.833	161.728	171.359	116.826	126.24	119.192	110.176	112.288	96.4383	90.043	99.5412	94.3831	122.109	84.5069	137.693	91.5826	78.1728	147.059	100.488	90.1253	105.934	88.0957	118.779
CLEC3A	0.723278	0.668965	0.82522	0.697463	0.463317	0.120845	1.28942	0.405108	0.547229	0.220976	0.114331	0.963595	0.215592	0	1.1006	0.786998	0.487208	0.55023	0.570876	0.599366	1.16637	0.596699	0.67578	0.624783
CLEC3B	0.873267	2.6172967	0	0.993686	0	0.3702263	0.37879642	0	0	0.32956616	0	0	0.29756002	0	0.948995	0.659174	0.362634	0.33110222	0	0.54216374	1.3704032	0	0	0
CLEC4D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC4E	0	0.303803	0	0.921584	0	0	0	0	0	0	0.322514	0.290817	0	0.299906	0.294667	0	0	0.614783	0	0.251102	0	0	0	0
CLEC4G	0	0	0	0	0	0.250282	0	0	0.273173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC5A	0	0	0	0.388341	0	0	0	0	0	0	0.40771	0	0	0	0	0	0	0	0.354763	0	0	0	0	0
CLEC7A	0.0604664	0	0	0	0	0	1.69607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC9A	0.118389	0	0.361009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLGN	0.596451	0.637194	0.452055	0.562709	0.373143	0	0.953179	0.167769	1.95588	0.269763	0.442996	0.265125	0.87503	0.068408	0.329482	0.277796	1.179	0.970264	0.609969	0.619077	0.183605	0.278611	0.108216	0
CLHC1	1.723039	0.970717	3.544409	1.964386	4.298323	0	0.986485	1.04138	1.425373	0.533523	1.644008	0.732584	3.344661	0.738005	0.491743	1.3567	0.574526	1.289807	0.68732	1.423252	0	0.676822	2.455651	1.662039
CLIC1	6.20885	6.98406	4.7685	7.66371	7.46613	3.16991	2.84199	5.57908	5.48421	4.0645	5.61274	3.78774	1.49026	3.41239	5.06495	3.48192	3.88282	3.47437	2.67161	5.39013	2.23412	5.86835	7.66346	3.69936
CLIC2	0.761498	0.585519	1.05938	0.865884	1.30355	0.809257	0.162522	0.342941	1.04429	0.644255	1.35677	0.339618	1.02445	0.351215	0.945764	0.639765	1.30355	0.930391	0.468032	0.231098	1.13677	0.56784	1.00579	0.948934
CLIC3	7.54653	11.1477	6.88569	8.15038	5.78717	5.15906	9.24806	5.19402	6.93706	8.96314	9.85841	6.42318	6.66881	5.55949	6.80918	9.97867	8.00754	11.3029	11.3773	6.45995	8.12588	7.11785	7.04058	5.57887
CLIC4	18.9143	20.7305	29.5542	19.3288	24.5914	21.0811	14.1123	16.0388	13.7351	22.4715	16.5621	16.0773	14.2962	16.738	16.8939	13.6139	18.2585	16.7288	9.22516	22.0935	18.5556	25.0993	25.9513	22.7212
CLIC5	3.5839801	5.49767	4.31176	2.70106	4.39961	1.88937	5.35824	4.65009	7.24398	3.48814	7.7133	8.56892	12.8272	5.44514	9.01766	10.4526	5.31769	4.67429	5.05742	9.949968	20.876562	12.1527	8.79411	9.22879
CLIC6	6.75776	0.194958	0.276138	0.531109	2.186164	0.304917	0.417606	0.114995	0.0638444	0.143934	0.158027	19.71385	0.313274	1.1009854	0.32201	0.333244	0.5942408455	14.31219	0.104851	0.750234	0.313208	0.325145	2.33531	1.121766
CLINT1	24.595787	29.19898	33.5256400004686	27.7593600218003	39.79375	41.4012	36.56539	36.74771	44.74312	38.3626700920724	36.81241	37.46676	36.809901	32.38123	42.78391	38.55904	31.993174	36.974730813901	27.37281	41.2891	40.16661	38.65901	44.32316	36.65373
CLIP1	29.7877484253	29.4238780184258	35.0721410185745	32.85487103	46.740607	50.799036	36.89549334539	41.2452770004998	65.550738	47.597744	52.257276	49.69637	47.246149	36.915668	58.717452	50.953461	48.959958	54.37307	52.620948	52.072424	54.829574	53.123129	61.987055762	41.954938
CLIP2	202.409	220.3154	172.4996	176.738	170.0605	158.9059	184.7612	185.824	208.379	164.8522	175.4315	163.5915	172.2611	196.1232	163.12	174.3201	243.8356	195.7395	194.1741	165.04	166.9693	204.7265	156.4625	205.6862
CLIP3	310.1223	297.0327	335.516	365.5892	323.9819	398.8002	339.1405	364.9151	381.8557	402.1498	428.0734	382.4547	419.3664	332.4138	380.6349	348.5331	357.1211	346.6432	362.9156	381.9846	438.223	423.642	447.1791	356.906
CLIP4	23.90038	27.1648	31.5378929	30.792679	37.221052	48.26551	36.7982	48.6931	46.29050142017	45.96452	45.06677989	45.60659	45.51958	54.94787	53.482	51.505243	42.840888897	43.3999127248	36.91206	44.37065225	50.67746	37.696211638	57.99845	36.851027
CLK1	51.2528	38.6261	37.2453	39.7524	24.00256	49.0106	59.0958	39.0478	46.9544	55.9504	36.2073	60.8411	20.41489	44.49	36.9607	45.8249	31.9712	39.2853	21.45186	42.4686	48.2717	36.3875	43.7209	52.2419
CLK2	50.72135	43.25470360608	35.69491	43.196520695426	38.05356	31.388402923	49.6237712622	37.2467178	30.476808	29.7519590622	38.88125	34.62468	31.54702	37.73922	34.02289	44.19301	36.45607	45.19229	34.07399	35.46779	36.853750375238	29.71064	33.6107	38.7222100581861
CLK3	44.059109	51.87711	33.799438	45.505387	31.90863	51.62238	51.263667	41.518244	45.246686	41.58906	41.68378	51.23974	33.352102	46.42285	38.738543	46.84366	35.224425	52.16922	39.58206	38.84088	39.0744	37.00726	42.155965	40.85303
CLK4	57.87234	54.98469	40.45032	57.716	27.02651	68.27124	94.2616	56.7359	71.07175	78.05315	45.19692	68.95138	31.61051	58.8651	42.43259	53.45945	35.74657	58.18771	43.16968	44.2777	54.7966	44.50388	51.5647	52.80431
CLMN	15.7575	9.78911	24.0679	12.2492	32.65	16.4798	19.299	16.271	27.4322	21.1566	28.3653	40.5269	36.3329	52.4786	33.3947	37.3291	29.787	25.6406	35.9743	31.838	39.4774	34.8135	18.6913	28.3268
CLMP	12.6148	11.7866	12.904	11.9592	18.6784	13.9159	16.0922	17.0939	17.6398	11.2704	15.2895	12.8072	13.6208	11.73	17.0597	17.2504	12.1283	12.7753	12.8188	12.034	15.131	26.8213	25.0778	17.0849
CLN3	22.13985	18.05928	19.3212100045057	19.90274	18.1945	11.630105	15.03158	13.84298	14.15044	11.764002	29.44774	14.33791	19.2923	14.11296	23.63553	18.67397	12.744304	20.34489	14.50071	23.31344	17.94661	14.78832	22.77283	15.62245
CLN5	11.0214	17.461	12.8508	13.6241	13.7302	11.5912	11.4132	12.837	11.3642	12.0614	14.3253	15.6586	14.133	8.13074	13.7747	15.2139	13.4372	10.2492	7.77915	10.7691	16.744	12.6675	17.0074	14.4653
CLN6	16.1832	13.6003	14.0298	18.0252	16.4562	22.8636	15.187	15.7608	18.2006	12.683	19.0043	13.4633	16.9063	13.4474	15.7557	12.2228	21.4985	16.2631	20.7628	22.321	13.1805	23.7363	24.0169	21.0257
CLN8	69.59206	72.26561	59.351003	70.28465	53.77927	44.397499	58.52706	55.941445	47.930218	55.83531	60.17303	50.45534	54.536429	71.97259	40.886648	47.66817	47.33554	50.709698	58.762	41.98194	53.74863	61.4932	56.7275	51.33916
CLNK	0	0	0	0.22972	0.122184	0.128131	0	0.13716	0	0.111026	0.362194	0	0.102377	0	0	0.341471	0	0.227165	0	0	0.303572	0	0.179203	0
CLNS1A	97.43542	94.21459	91.915883	99.24489	89.7036	78.50515	82.00506	73.164619	82.9497	76.87693	72.3467	66.35359	72.73956	68.006	69.5059	75.97726	82.53533	56.19731	58.7855	65.54898	73.024933	68.19641	76.5846	79.17691
CLOCK	8.69794346428505	9.06741443226	9.82357821082	10.1708200001845	11.6816780292189	12.7615611741997	9.261782	10.54706909093	13.14095771657	12.190815489824	12.024396446	11.428895479587	11.8605206998471	8.46830505447768	15.6544650004669	11.1241140107313	10.473509	11.1637490662756	7.58639	13.540844	15.980339129434	10.9254840335099	15.4637	12.5745457061234
CLP1	8.78749	8.37554	11.0883	9.80871	11.0623	9.086	8.34204	12.3248	10.2992	8.0972	11.0305	10.3974	12.1234	12.6692	11.1675	8.5821	9.39769	10.2769	11.5459	11.5505	9.33249	10.2447	10.4704	10.4156
CLPB	46.1442	48.2836	42.569	47.7885	48.2789	57.0752	59.7861	60.4466	70.7801	42.6917	52.1454	59.4564	60.7892	52.3684	50.315	51.9725	60.9042	73.8418	69.925	55.0576	60.6657	65.5405	61.3576	52.5013
CLPP	84.3026	85.0146	75.5432	73.9974	61.0386	68.9666	77.8008	80.3874	71.6132	65.9553	83.0938	71.8785	73.4938	85.258	60.4927	80.0827	92.65	84.9664	90.8604	72.9182	67.6548	61.2124	62.2477	76.699
CLPS	0	0	0	0	0	0	0	0	0	0	0	0	0.473019	0	0	0	0	0	0	0.432577	0	0	0	0
CLPSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1	148.095	138.649	144.078	147.862	139.3	160.894	148.107	147.01	163.53	152.744	164.112	165.712	154.308	163.746	153.808	149.879	151.093	151.203	179.319	161.288	164.108	159.455	144.736	146.912
CLPTM1L	126.941	114.27	106.843	120.683	103.209	90.1347	114.256	117.691	105.035	90.5189	111.448	95.756	113.393	113.891	99.0988	116.244	117.167	110.319	130.328	100.806	100.475	108.664	99.8879	98.579
CLPX	19.536	31.173	31.2271	29.8732	38.3929	37.1807	23.3591	29.3829	33.8607	33.5975	39.9744	32.8586	34.4204	27.2498	41.5364	33.7099	30.5819	34.4435	24.8215	36.3172	42.2752	33.0058	41.8986	32.7182
CLRN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340181	0	0	0	0	0	0	0
CLRN3	0.706666	0.164501	0	0.494361	0	0.184412	0.562129	0.197071	0.200873	0.321509	0	0	0	0	0.156513	0.163974	0.182905	0.327238	0.528637	0.399773	0	0	0.261225	0
CLSPN	1.6938	1.3151	4.45142	3.13426	4.77862	1.62058	2.093	1.61342	0.863753	0.833793	3.25768	1.09866	2.30609	5.03078	10.4846	4.1288	3.66224	1.22568	1.44882	1.98801	2.05503	0.936074	2.45917	3.20732
CLSTN1	1021.048	1184.679	1162.666	1168.43	1076.838	1023.347	1138.613	1074.317	1208.747	1037.326	1066.813	1105.93	1177.551	1089.503	1077.652	1142.563	1173.716	1126.203	1274.436	1094.014	1095.811	1152.55	993.734	997.912
