sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
ABCA12	0.0203083	0	0.181889	0	0	0	0.0203229	0	0.0217414	0.0857889	0.0757268	0.220665	0.0799739	0.0350834	0.0167972	0.0532804	0	0.212688	0.0197317	0.0718506	0	0.0705808	0	0
ABCA13	0.0067573	0	0.110905	0	0.0582549	0.0976951	0.0247808	0.0393553	0.0132539	0.0418112	0	0.0207003	0	0.010698	0	0.0324817	0.06183	0	0.0120485	0	0.0565953	0	0	0
ABCA2	66.556112	57.86531	65.30222	67.600033	56.5574	49.38147	57.34913	48.71104	49.09956	53.21247	56.97997	64.454	44.442204	64.77572	60.7797	62.60045	57.59453	60.596399	61.94807	52.36548	49.871455	46.955881	49.399145	50.66475
ABCA3	71.3976	67.4069	66.1364	66.5266	65.9919	53.7833	68.1299	57.5426	64.687	53.8852	61.7083	57.8987	58.9744	57.6826	58.9202	65.9037	62.4999	63.7261	71.5124	59.1533	45.6655	71.8269	48.4476	55.7958
ABCA4	0.164905	0.146397	0.170447	0.248245	0.284509	0.20646	0.372438	0.295619	0.821801	0.471784	0.368587	0.427703	0.274798	0.200896	0.404098	0.162741	0.231992	0.18271	0.0903491	0.427983	0.186428	0.161763	0.313416	0.205369
ABCA5	4.26894288	3.4852433783005	5.93326	6.775703	7.581570014593	8.153307	5.00183300314447	7.28497995	7.2119940321545	9.05624	7.7211082	6.70191091037117	5.869982	2.84102500608974	9.14722241799414	9.591378	7.23328272031	9.53437975	5.2823500004058	7.5171931487	7.3451679133	6.2282587938	8.58817716133499	7.82688
ABCA6	0.251605	0.115689	0.865295	0.887492	0.727224	0.38115	0.48348	0.306901	1.03461	0.136215	0.660272	0.699816	0.253666	0.667404	0.719828	0.676087	0.545478	0.590367	0.218555	0.615608	0.480182	0.411267	0.347837	0.813883
ABCA7	4.91902	4.34372	4.08875	4.4238	3.98597	2.7932	4.76353	3.90695	3.61833	2.93678	4.54779	3.38165	2.84924	3.06277	3.46544	4.496	3.6316	3.92598	3.00418	3.16653	2.97062	3.86242	2.98275	3.84286
ABCA9	1.59373	0.231454	0.745739	2.26496	1.61582	1.43967	1.48956	0.666813	0.735551	1.54901	1.0137	0.765512	0.563604	0.568501	0.805401	0.575802	1.14118	0.724529	0.360973	1.09408	0.295252	0.963021	2.04646	0.722821
ABCB1	12.3055387	11.55808	14.15364	10.945015	14.668774	14.398524	8.234353	7.415813	7.816066	11.28214	13.216983	11.182531	9.4266	8.959161	12.140199	8.870948	8.218329	10.561884	5.358966	12.102755	13.619968	9.619317	13.4365	12.316981
