sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
CBY3	0.912461	0	0.620423	0.329005	0	0.154318	0.474918	0.792021	0.146782	0.15272	0.298494	0	0.145278	0.719859	1.03409	0.150911	0.737398	0.25633	0.129958	0.674743	0.133536	0.732181	0.491149	0.195867
CC2D1A	35.31764	33.76665	32.52293	42.69558	34.46463	29.80911	34.783664	37.64869	26.911113	23.047991	41.720201	38.64921	30.83121	36.41178	32.92727	46.39206	42.97178	34.621978	27.76821	32.0499	38.51595	35.30544	28.60303	32.02393
CC2D1B	32.26511	35.93329	34.6858	31.65995	32.73412	35.26858	45.41348	31.75883	36.63594	35.22654	34.09165	25.64729	37.555981	37.72044	35.40555	31.90003	45.56273	36.85588	31.59362	35.35142	34.31768	39.22054	43.76569	31.30746
CC2D2A	4.285613	3.40111	3.883062	3.639508	4.159913	3.480768261968	4.381221	4.2591838	4.484012	6.021676	4.334618	2.517551133	3.816686	5.076096	4.53167	4.11472000192032	8.317506	5.396725	6.22329004132506	3.157514	4.53715	4.624764	3.67077	6.373136
CC2D2B	0.195	0.136756	0.0843963	0.0898676	0	0.0281398	0.142109	0.285612	0.13222	0.138966	0.110096	0	0.0254093	0.078248	0.0805021	0.0554765	0.269762	0.18549	0.329057	0.0735548	0.0966565	0.198079	0.044358	0.0178928
CCAR1	22.05761	27.80814	27.05295	23.23349	21.90305	27.72689	23.9862900052709	24.21053	28.13664	28.89594	18.10156	21.0877607978	25.11802	27.89856	19.4548	17.50066	18.8006	27.09187	22.223517	20.1284	24.56801	24.87815	20.90088	21.97638
CCAR2	82.2759	88.7305	85.559	90.7765	101.4056	80.3458	87.6025	80.2227	73.273	78.2581	99.487	94.0572	87.3211	93.9242	87.0738	94.0716	97.4088	90.5456	84.5506	83.2672	87.0743	100.9091	83.7309	86.7555
CCBE1	1.41375	1.6498	2.36775	2.8256	2.50076	0.723352	1.56251	1.77311	1.31693	1.30236	0.540355	0.673312	0.984706	0.609803	0.532238	0.905787	0.66862	1.21295	0.457332	0.99781	0.760348	1.18228	0.438834	0.731611
CCDC102A	2.53999	1.32779	2.15767	1.45311	1.93687	1.6457	1.16205	1.89635	0.540532	2.05821	0.487776	3.48117	1.49436	2.79601	1.85007	0.913756	2.81058	1.30359	1.32028	2.38055	2.34593	1.7963	2.20983	1.86911
CCDC102B	0.90103	0.715409	0.460302	0.586988	1.14462	0.183176	0.278831	0.839787	0	0.272389	0.17759	0.268783	0.166342	0.510877	0.701266	0.358422	0.350006	0.303325	0.383853	0.16033	0.236987	0.0717736	0.290015	0.233042
CCDC103	1.54449	1.1433	2.40112	1.3938	1.63236	2.75056	1.51346	1.00606	0.701298	0.386807	0.669054	1.29023	0.856568	1.79294	1.86487	1.13518	2.87851	1.5383	0.554414	1.13304	0.945361	1.59924	1.04786	2.59398
CCDC105	0	0.133397	0	0.583273	0	0.273425	0.415987	0.139113	0.257951	0	0	0	0	0	0	0	0	0	0	0	0	0.10687	0	0.173309
CCDC106	147.0345	147.0854	134.5675	134.9844	107.966	106.4014	103.7409	120.7537	96.1069	96.4612	120.9901	98.3026	108.9644	110.654	111.4756	132.4343	139.3428	87.5046	116.4947	113.3487	100.2233	125.9135	116.9062	112.4417
CCDC107	92.7987	54.9877	59.7206	75.9569	85.6233	52.7136	79.0764	80.8275	65.1136	70.6736	81.2903	99.6357	62.7752	58.3521	112.4101	95.5381	110.0149	72.3317	99.6222	108.2556	73.0388	64.9762	65.1443	86.4974
CCDC110	0.18258	0.120441	0.123937	0.0659156	0.449223	0.493193	0	0.251434	0	0.1835	0	0.123337	0.391848	0	0.177163	0.121366	0.414013	0	0.620669	0.269917	0.265998	0.0483916	0	0.117928
CCDC112	21.175454	25.64656	35.07189	29.900719	32.177252	21.2486	19.71375	26.35516	22.10536	20.248214	11.92844	25.1489	24.67912	25.6093	23.64494	19.12659	18.966732	16.08277	23.00167	18.4788	21.9574	21.80953	18.13061	20.07532
CCDC113	9.7816	3.3733000387695	7.30071	5.798574	7.42995	4.042948	2.25293	6.78832	4.74576	6.78556	6.18096	4.129120193415	3.4750000191895	3.20922	3.30352	9.3819440609669	2.6998740016844	3.32663	2.1700920141401	2.80708800584912	4.311321	0.772171	0.976209	2.4287050073354
CCDC115	68.9897	80.4192	87.2724	98.8266	80.6145	79.8352	65.2827	78.9893	80.6362	86.3759	95.9211	75.8483	92.6848	67.2587	84.8685	104.535	75.0198	72.8774	89.0726	98.643	118.017	70.1034	72.748	92.939
CCDC116	0.181176	0	0	0	0	0	0.0934488	0	0.086931	0.091289	0.178537	0	0	0	0.0881339	0	0.0879715	0	0	0.0806004	0.0794247	0	0.0728977	0.0585753
CCDC117	5.485946	11.475421	10.75053	12.19335631	8.207362	15.63254	11.68816	10.769714	10.110930293155	15.5136	7.343092	11.11001	10.68144	8.90148	9.916947	9.69743	7.21283	9.71611	9.785266759	9.537826	10.3564	7.730111	9.74397	10.19585
CCDC12	100.47801	79.99986	76.20693	90.1115	86.472064	59.18349	86.44708	87.322863	71.6049	108.38062	91.4638	117.89391	76.91046	83.9855	99.059609	79.848309	129.803241	81.65947	110.87407	101.26181	86.35655	87.08812	84.06292	103.851483
CCDC120	11.322890001124	13.79604	13.139735	14.612938	13.78514	14.49621	14.46492	13.6912500005816	11.579676	13.378549	12.754150121362	11.36526	10.96342	14.52841	12.15859124306	14.29526	17.52349	13.32663	12.81439	12.3587	12.9775	16.36252	11.32752521	13.0340769
CCDC121	1.95764	1.00338	3.09928	1.55986	1.49884	0.74184	1.17601	1.1983	0.873102	0.611162	0.894579	0.701193	1.44081	0.501768	2.09814	1.1101	1.39579	1.79361	0.688982	0.733089	0.70906	0.253303	0.938676	1.26601
CCDC122	1.00662	1.29168	1.62647	2.03911	1.22673	1.91242	2.23783	4.63917	1.38763	1.60176	1.26788	0.414741	2.27142	1.94945	2.95208	0.996257	1.25522	1.21733	1.72342	1.80121	1.01412	0.804521	1.39614	1.77019
CCDC124	333.805	291.65	252.959	294.463	255.296	294.301	313.588	294.442	284.244	293.615	319.164	375.488	299.331	357.64	272.846	302.377	345.052	264.492	303.718	291.498	302.301	348.662	349.225	331.64
CCDC125	1.37642	1.73066	3.18827	1.0961	2.72053	1.30608	3.12413	1.04545	1.05681	1.47969	2.35073	1.27605	1.3555	1.21414	1.33927	2.37226	2.31681	2.08549	2.18945	1.71473	1.36787	1.02343	1.47701	2.96682
CCDC126	11.4021	15.629067	19.20801	13.61758	13.09986	19.373974	14.763974	11.502455	16.7936	15.13332	6.26258	7.78985	13.36244	12.10575	11.6069	7.42689	7.707059	17.70757	13.48488	10.150632	14.595289	11.04258	14.67505	13.133335
CCDC127	107.872249	113.7896	117.70632	122.4922	116.1032	102.4201	96.9555	105.9577	102.568949	99.9806	111.2323	87.3844	117.17931	97.8541	96.1744	107.8495	101.1076	101.36326	103.9916	109.25904	109.31926	126.84732	128.84995	97.96269
CCDC13	7.27357	4.34383	6.190851	9.19764	4.759535	3.97658	4.8703	4.760192	2.213078	3.24686	5.45191	6.2990442	4.15039	5.29731	3.78353	4.8354	4.992569	3.3039	2.766576	3.348632	4.154109	3.398409	3.577449	3.013742
CCDC134	40.4355	40.3337	37.8508	34.121	33.7905	29.7302	38.1931	34.4255	30.1825	44.8496	48.1875	58.369	45.1321	40.721	38.6974	26.8751	49.4305	42.9969	34.243	41.11	36.4797	31.2003	31.3535	40.455
CCDC136	99.80997	118.86168	107.78805	117.70407	81.09609	79.80856	95.35206	74.62134	138.94386	117.87563	89.99659	138.15558	85.92359	110.84416	93.80137	76.54849	106.40381	103.02404	97.18795	128.39107	125.8653	142.54776	121.08111	136.23523
CCDC137	28.6146	21.9649	19.6356	27.1985	22.6681	16.9376	13.1808	21.5438	18.561	18.036	26.282	29.162	19.72	21.0401	20.8053	23.0165	25.601	19.5026	22.0352	20.7235	21.5942	21.6368	17.7164	23.3358
CCDC138	0.926664	0.261053	1.15264	1.078733	0.561784	0.530774	0.538369	0.742035	0.624869	0.1981987	0.645165	0.263856	0.340331	0.31384	0.130767114454	0	0.6302630226932	0.43928	0.111153079	0.405555	0.317849	0	0.10684	0.46393
CCDC14	2.9895	1.81017	2.99991	2.01904	1.28495	2.36692	2.15974	2.62515	1.91218	1.2943	1.54966	2.17226	2.61619	4.05917	3.74888	2.75036	3.46876	3.92166	2.27549	1.35223	1.62883	1.34835	2.33767	1.75364
CCDC141	0.782752	0.73173	0.89491	0.584894	0.568311	0.708165	0.801454	0.330453	0.860421	1.24608	0.33888	0.18803	0.77153	0.8111	0.562732	0.180774	0.390485	0.536457	0.679872	0.460929	1.10075	0.254697	0.400924	0.919027
CCDC142	2.986246	2.795905	5.928371	5.64003009	4.251446	2.938643	5.51981	4.287446	3.709769	3.384086	4.379006	3.75834	4.858891	3.8366116	4.088045	4.37533	4.67572	6.45769	4.743037	4.230638	4.6974	6.243362	5.965096	4.56906
CCDC146	0	0.05097	0	0	0.108602	0.104344	0.211875	0	0.147839	0	0	0.105128	0.0947428	0	0	0	0	0.12964	0	0	0	0.0819477	0.0413288	0
CCDC148	0.441834	0.305509	0.853108	1.00351	0.836745	0.580688	0.272127	0.50122	0.464162	1.10849	0.78777	0.135786	0.44613	0.374425	0.684942	0.397091	0.987977	0.0740017	1.12486	0.704226	0.771141	0.421144	0.778564	0.855613
CCDC149	42.6275	41.2781	51.0197	38.0698	40.892	39.0908	47.9733	38.8316	53.3693	58.8173	57.6936	33.7125	45.2661	46.1851	43.5215	40.9956	46.7099	45.4811	52.7397	46.1011	46.6258	43.0079	57.692	51.462
CCDC15	4.270785	3.597425	4.61045	4.27596	3.56357	5.06416	7.30998	3.92021	4.591807	6.47632	2.107514	4.03119	5.1285	4.31043	6.79023	3.55626	6.37585	5.59488	4.57359	3.645257	3.82663	4.56901	3.37708	4.2856
CCDC150	0.111959	0.0828066	0.0851708	0.241844	0.205693	0	0.143413	0.259408	0.106746	0.168288	0.249975	0.175921	0.128212	0.184252	0.460362	0.279913	0.217782	0.21059	0.0474391	0.0247432	0.0243858	0.0888418	0.0671473	0.126397
CCDC152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC153	0	0.514262	0.265423	0	0	0	2.14487	0.802722	0.24878	0.51945	0	0.460752	0	0.243625	0.503202	0	2.71384	0.2183	0	0.230311	0	0.410318	0	0.332128
CCDC154	0.209579	0.06919	0.0712075	0.151442	0	0.0708409	0.215721	0.144426	0.0668956	0	0	0.49263	0.0643264	0.527294	0.0678414	0	0.067876	0.175997	0.0594175	0.186072	0.183367	0.38905	0.168299	0.0902748
CCDC157	9.521348	7.54742	7.424024	9.49504	8.50243	3.920454	5.15907	5.8647	3.701884	3.69755	7.074288	3.862131	5.80256	6.9248	4.94644	8.024062	5.314487	5.842623	3.32201	3.395831	5.014807	5.03538	4.54366	4.826258
CCDC158	0.261327	0.301141	0.0442581	0.0471033	0	0.0440292	0.134118	0	0.0831865	0.087412	0	0	0.039977	0.0820172	0.0421972	0	0	0.182359	0	0.0385643	0.0380059	0.103783	0.10465	0
CCDC159	8.939011	11.3606399	8.23727446	8.2783	6.073860204378	8.475632	9.779003	12.897566	7.846586	8.448927	8.603796	7.8122	6.92314513	6.622386	9.99907	4.6521364	11.217728	8.29893	7.65715	6.271181	6.597919	5.07402	3.700136	8.666785
CCDC160	0.120398	0	0.123454	0.131064	0.344489	0.551133	0.373788	0.336726	0.231793	0.243315	0	0.704672	0	0	0	0.119409	0.584182	0.101662	0.205711	0.214913	0.63529	0	0.0971791	0.280053
CCDC162P	0.47802	0.29559	0.243332	0.582391	0.0629976	0	0.368626	0	0	0.240191	0.531757	0	0.494571	0.394318	0.57974	0.178754	1.50982	0.250616	0.152329	0.10599	0.0522257	0.237539	0.287608	0.192963
CCDC163	5.9323666	10.670958	14.137329	13.307846	11.5825324	11.202792	10.457185184872	4.667338	9.5224026	6.63244	7.52929	6.8344931	9.196778	12.869044	11.569687	9.168914257988	8.8402	9.895396	13.7347730162079	12.65088	14.278656	13.051114	9.7967497	12.55411
CCDC166	0.409952	0.136281	0.421166	0.148963	0.291148	0	0.141661	0.568462	1.05411	0	0.937829	0.791728	1.01485	0.388819	0.80099	0.541324	0.795334	1.15589	0.350717	0.610842	0.962988	0.218334	0.552394	0.619577
CCDC167	34.1439	32.7801	34.6535	44.0117	34.6275	43.7091	27.5629	30.1452	26.6788	34.4296	35.8226	121.504	37.7571	25.6167	23.3502	21.8113	52.6559	19.6999	23.8269	33.7594	39.9074	25.9927	22.2466	41.2763
CCDC169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC17	0.0803681	0.159368	0.16404	0.174378	0.339872	0.163197	0.579712	0.0831547	0.077042	0.404577	0.158575	0.482488	0.148194	0.682999	0.0781196	0	0.390331	0.067567	0	0	0.140783	0.767765	0.0646069	0.103895
CCDC170	0.337941	5.17312	8.75536	6.80624	3.55459	0.213482	3.42492	0.871128	4.51752	1.52585	1.50666	0.563281	2.51984	1.98847	1.92331	1.81419	0.657131	8.98352	2.25806	1.34632	0.110569	4.29437	2.74009	0
CCDC171	1.08482	0.705251	1.98883	1.96856	2.00989	2.42076	1.79665	0.902797	2.55146	2.12695	1.44374	0.815244	2.19783	1.51881	2.41069	1.80122	1.7512	2.52636	2.20931	1.65188	2.33151	0.585913	1.51274	2.14377
CCDC172	0	0	0	0.853234	0	0	0	0	0	0	0	0	0	0	0.765826	0	0	0.664982	0	0	0	0	0	0
CCDC174	31.061	30.1523	26.4694	29.9864	25.2675	19.3888	28.1259	24.3213	24.9971	37.5801	28.877	40.6355	26.6583	28.3413	25.8781	33.249	41.4487	37.8076	33.5071	33.4106	31.9165	29.8332	28.3683	38.689
CCDC175	0.0915115	0.0908374	0.093515	0	0	0.0930353	0	0	0	0	0	0	0	0.172973	0.17808	0	0	0	0	0	0	0	0	0.118349
CCDC177	13.5434	12.2719	13.7789	16.6403	15.5696	12.7878	11.9404	12.61	16.2818	11.8551	15.5395	14.4299	12.5184	12.5289	15.0449	17.6485	14.3637	16.5234	14.4729	13.9251	17.0076	10.6328	13.2995	12.5305
CCDC178	0.233619	0	0.0594515	0.0632432	0.430958	0	0	0	0	0.293431	0	0	0.107408	0.0550547	0.113319	0.116496	0.113524	0	0.0992504	0.362547	0.204163	0.0928647	0	0.188601
CCDC18	1.17659	1.5086	2.44691	2.09703	1.359	1.21712	1.17574	1.33295	1.37441	0.589591	0.846341	0.639	0.727715	0.719283	1.22387	1.08826	0.429112	0.787001	1.19664	0.59815	0.768923	0.653607	0.752805	0.816004
CCDC180	0.0926994	0.030481	0.0940575	0.40058	0.129809	0.3119	0.0633486	1.08216	0.14735	0.0309721	0.337179	0.127734	0.254865	0.0581298	0.0299032	0.247146	0.120203	0.0516793	0.523843	0.0273238	0.161573	0	0.0247166	0.857251
CCDC181	41.636731	40.790116	32.85079	39.28058	36.128151	28.868559	33.997795	36.26973	33.673268	26.3431	42.4826	43.36165	34.941673	36.250381	23.41222	51.21492	38.81199	34.068156	31.08271	38.76471	39.01178	33.72039	32.343048	40.141608
CCDC182	0	0	0	0	0	0	0	0	0	0	0.697971	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC183	9.636934	9.175538	8.16276	8.83631	6.964902	6.435804	18.51654	10.74429	9.402526	9.91744	13.09958	13.719963	9.652021	16.57635	12.20246	4.49447	19.49904	16.00279	8.59184	8.35429	7.868658	12.42124	12.154048	8.416277
CCDC184	31.7189	32.8737	30.743	29.0454	27.9319	31.1991	31.1152	33.8239	33.8466	44.6294	28.0775	42.1981	25.2923	27.8242	36.7456	28.5213	31.9325	43.3077	29.8924	37.7179	28.1571	29.2485	45.199	26.5833
CCDC185	0	0	0	0	0	0	0	0	0	0.170116	0.7495	0.168558	0	0.07977	0	0.252083	0.0820243	0.0710312	0	0	0	0	0	0
CCDC186	11.09244	16.87084	18.78314	13.754793	11.79863	19.26513	16.29016	13.55612	20.7215	19.7134	9.59313	8.23062	18.425	16.16318	15.10558	8.98719	9.24337	22.69917	13.322673	13.577481	16.30714	16.52328	15.5148	15.357911
CCDC188	0.881978	0	0.728309	1.54356	0.566797	0.362314	0.550932	0.552354	0.512384	0.716591	0.688748	0.332468	0	0.335655	0.864717	0.174074	0.34189	0.149857	1.81723	0.158357	1.09211	1.13014	0.286378	0.457693
CCDC190	13.1013	10.48417	13.27318	14.250535	12.505266	13.59514	14.820674	13.69909	10.68177	13.95969	13.37308	13.68411	10.909012	12.773405	13.70311	9.959902	19.54867	11.604054	10.767218	8.769484	12.58035	11.67949	10.61582	10.892486
CCDC191	5.20719	5.56589	7.736684	8.2231700285147	7.68461	6.11286	5.73829565	6.48809	6.87616165103	6.67471000352492	7.06457	3.54715134804	10.096973	7.70567	9.479148599084	6.01805	5.609171	5.515427	7.40163	4.24369	5.69637213781	5.349301756	5.40786000048726	6.853811
CCDC192	0.471994	0.843582	0.771986	0.820265	0.0999904	0	0.681936	0	0.543743	0	0.0929844	0	0	0.713885	0.0918728	0	0	0	0	0	0.0827979	0	0.0759935	0
CCDC194	0.986165	1.27351	0.504299	0.857222	0.836138	0.501716	0.814543	0.919847	1.23129	1.09397	0.679654	2.53576	1.09349	1.67856	1.24818	0.68598	1.91499	1.24609	1.00904	1.0538	0.778809	1.17895	1.90615	1.27571
CCDC196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC198	0.217075512	0	0	0.238113152	0	0	0	0	0	0	0	0	0.203445378	0	0	0	0	0	0	0	0	0	0	0
CCDC22	97.7059	111.9098	143.8635	119.9203	121.0832	102.6324	106.6509	92.0318	88.4427	64.8401	128.0905	62.69114	101.106	125.0911	102.4355	128.8375	96.13631	107.903	82.479	82.2461	108.1395	93.4345	80.9231	96.5737
CCDC24	13.621314	8.25614	6.7241	8.50771	8.26614	6.074754235	2.660664	4.032688	4.62238	3.26192	4.96656	3.9926	2.9746025	4.7877935	3.825364	3.581746	5.428606	2.460688	1.693927	3.320992	6.228778	2.66562	4.550502	3.957426
CCDC25	157.7159816	174.30024	146.18869	150.35114	137.86711	152.002	146.859	154.8843	144.66423	132.365	139.752	202.0957	137.50829	154.90276	158.36405	152.08778	177.23627	152.20828	147.02348	157.985	145.97937	164.03554	153.33571	137.03413
CCDC27	0	0	0.0486386	0.0517584	0	0	0.0982572	0.0493543	0	0	0	0.0488916	0	0	0.0463682	0	0	0	0.0406125	0.0847576	0.167059	0	0.0383333	0.154429
CCDC28A	34.522148	48.98521	54.28543	58.6113	52.08297	65.37744	51.94948	56.10624	61.961	52.148	55.4715	65.5931	57.28048	55.35386	53.4172	63.7192	50.96002	53.66283	55.3353	59.9688	56.71847	51.82102	49.31285	47.98415
CCDC3	0.614692	0.913858	0.0783832	1.66665	0.974347	0.701822	0.237441	4.29166	0.147259	0.928022	2.88165	2.77402	0.424864	0.507738	0.821296	3.06013	0.895705	0.581159	1.43861	2.1163	2.22004	0.244622	0.679205	0.893846
CCDC30	25.17469814162	30.52125658	30.723444	34.242469574	24.397604	31.453875	26.702113	28.661745	20.831973	22.317003	17.753627	18.0059295	27.150995	22.436305	26.081244	20.9886050022026	24.736726	20.0054897	19.082655652883	23.460111059	23.043278298	24.218292	22.920224	22.806426
CCDC32	115.21625	112.91323	110.42972	112.06794	102.13633	99.96495	96.63863	90.4217	109.29301	91.90234	91.02632	109.87587	95.48347	98.57575	101.69734	110.95504	101.9956	78.622046	107.5974	94.00995	98.19056	92.27555	96.96427	88.32309
CCDC34	6.57161	6.09969	7.60587	6.194150684706	3.72005	4.90992	7.24569	4.98856	4.00186	6.52324	5.05369	7.47325	6.239327	5.28662	4.35574	4.62829	6.388188	5.45162	5.6087300134251	7.00022	9.14038	1.48497	4.85688	6.80362
CCDC38	0	0.0822586	0.084673	0.0900018	0.0877201	0	0	0	0	0.0835268	0.163608	0	0	0	0	0	0.0805619	0	0.353128	0	0.217995	0	0	0.268082
CCDC39	1.86614	2.14297	2.55254	1.60557	1.64149	2.57781	2.96922	1.05986	1.99919	0.458378	1.73648	1.44934	3.73784	2.54485	2.87661	1.21766	1.07392	3.31473	0.839861	1.07846	1.46143	0.786227	1.85962	1.4501
CCDC40	7.82718	3.33579	6.57039	7.03786	6.0222	6.20334	3.97379	6.45588	4.56241	3.5544	8.65368	11.5014	5.67017	5.35172	6.46437	5.2259	10.6543	3.03492	3.14557	6.41817	3.55796	2.94446	3.52954	4.22764
CCDC42	0	0	0	0	0	0	0	0	0	0	0.276053	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC43	20.2075	23.6615	20.756	19.2008	19.0934	22.5128	21.5644	19.1475	20.9763	24.325	17.9196	17.872	24.0981	23.4399	16.4178	17.0521	17.6331	18.149	16.6923	20.9498	16.7862	21.5766	22.7856	18.3288
CCDC47	37.0541	43.9334	57.1246	49.3877	51.5572	51.7046	37.0726	45.3994	53.2469	59.6872	45.563	24.9498	48.287	38.5196	42.6516	51.6257	36.9294	52.3192	65.7359	64.0117	62.5291	34.546	38.5653	58.6947
CCDC50	14.669325	17.718522	21.91624	18.9125	18.486023	16.877244	15.671884	14.099568	16.14229	9.665241	7.161617	9.009233	15.53246	13.45627	15.52192	6.568543	11.8671	16.61478	11.328822	9.761395	9.984845	13.67938	15.768754	10.464966
CCDC51	31.649955	41.0992	37.87732	35.48582	32.581495	34.01639	36.49187	29.66289	38.66045	28.69674	33.76501	38.58945	27.3621	33.306057	31.98752	27.59354	31.189716	32.37352	29.98701	34.28893	26.82861	35.4977	31.06958	33.86551
CCDC54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC57	12.45721	9.83153	10.4475200023307	13.90308	11.02855	13.27873	11.9051	11.71779	10.44426	10.467044	9.74143	12.80502	10.61704	19.58708	15.6174	13.81922	15.99559	13.50253	12.33627	10.93258	9.23664	12.6502500132811	11.24632	10.96726
CCDC59	33.8963	54.1179	34.2468	28.3469	40.2653	27.6219	14.9808	38.8858	40.1955	26.7709	21.0847	31.2106	41.3418	33.2737	39.2971	37.2127	33.4904	38.2378	38.9865	42.8451	39.3647	30.559	34.273	45.7481
CCDC6	15.1491	22.2694	20.5599	17.9687	22.9213	27.5462	21.7099	20.8755	27.338	21.8341	15.9958	14.4519	21.3705	19.9252	21.9891	16.9623	16.0004	24.5533	19.4034	19.154	26.5963	19.126	22.1782	19.5275
CCDC60	0	0	0	0	0	0	0.299252	0	0	0	0	0	0	0.18273	0	0.19209	0.281489	0	0	0	0	0.0770077	0	0
CCDC61	9.59232	11.0647	8.638257	13.0384	10.169036	8.45668	10.744271	11.33331	8.94893	7.90903	12.611727	13.28331	9.925388	11.01466	10.94175	12.229043	13.73081	9.71484	8.978817	15.285199	9.19438	11.295081	8.0394	12.132924
CCDC62	7.023117	7.414816	5.025516	6.127889	4.81889	4.028744	7.71282	6.18253	7.684961	5.0715306	8.47769	7.5921	5.243984	4.43839711	5.054229	5.68615	8.57833	6.91347	7.212556	7.666634	5.496469	5.92055	3.532426	7.105384
CCDC63	0	0.196214	0	0	0	0	0	0	0	0	0.0972343	0	0	0	0	0	0.0958896	0.166392	0	0	0.0866625	0	0	0
CCDC65	6.29878	7.14444	9.4694	6.15507	8.38251	7.683	5.38346	4.19327	5.09433	3.89898	3.9905	2.416	6.89386	9.09837	5.42749	6.08509	6.55386	5.52821	4.06336	5.04357	4.3389	4.01392	2.67902	3.72368
CCDC66	11.928642	14.125248	19.685624	15.65728	16.254725	17.5276	19.227034	14.3971	17.33318	13.19028	14.904102	8.387303	19.365536	19.751877	20.273581	10.767992	17.176138	19.844354	17.44084	13.17272	13.119875	16.47237	12.084509	15.035293
CCDC68	1.80011	0.930995	1.19782	1.52808	2.06805	1.83722	2.35211	2.34796	1.05659	0.866622	0.540619	1.17626	1.58709	1.33005	1.73	2.17249	1.38778	2.10511	1.46955	1.54054	1.37071	2.2467	1.8242	2.07396
CCDC69	0.921158	0.455973	0.469241	0.285171	0.347134	0.266757	0.609265	0.475918	0.629788	0.529265	0.97526	1.39561	1.02945	0.0620589	1.08584	0.39346	1.08689	0.828445	0.839135	0.70071	0.57544	0.732666	0.633789	0.977639
CCDC7	0.342036	0.5135	1.2349	0.934882	0.915192	1.22865	0.177943	0.356835	0.66198	1.21521	0.334073	0.485079	0.637729	1.95171	0.50277	0.675392	0.994531	0.871218	1.02725	1.22755	0.604707	0.958406	0.138748	0.554565
CCDC70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295387	0	0	0	0	0	0	0.493154	0
CCDC71	16.4272	23.5272	22.4055	23.7147	23.4961	15.4319	13.2794	17.1937	18.4874	15.0307	28.7939	12.1948	24.3395	22.5697	21.5077	27.9078	22.766	17.8582	23.3752	23.7763	17.3581	17.9645	18.3607	22.3335
CCDC71L	7.49334	8.22361	10.4547	9.74824	13.8056	11.6927	9.79381	7.68652	8.84419	10.5468	7.61896	17.8719	17.1404	9.48616	11.9354	10.1136	12.2368	11.619	9.50138	12.5073	12.4625	8.84658	7.94217	12.8722
CCDC73	2.07259	5.18748	3.55796	2.78997	3.63524	4.7039	3.59387	4.08555	4.61947	3.83694	1.59642	6.36172	3.50984	3.94702	4.82028	2.89705	2.95519	3.51061	4.9256	3.6712	3.73862	2.74412	4.98115	5.73833
CCDC74B	4.65772	4.93079	1.519542	3.449909	1.588589	5.939544	4.05955	4.61184	1.05252	3.863205	5.8178	1.70007900767	1.36917	7.180817	7.362785	4.649587	5.618458	2.183251	1.81488	11.538874	9.78661	2.10944	3.337432	5.740817
CCDC77	1.63563	1.83148	2.53739	1.46469	2.32782	1.58672	1.68379	1.6174	1.1578	2.00309	1.82598	1.43163	1.70278	1.20784	1.45042	1.55853	3.10918	0.955635	2.66161	1.45236	1.18233	1.24478	1.59921	1.2866
CCDC78	0.292923	0	0	0.319583	0	0.449632	0.151991	0.762276	0	0	0.286878	0.702863	0.136128	0.139019	0.143209	0	1.13631	0.868142	0.250814	0.262147	0.129145	0.468305	0.118529	0.284701
CCDC8	1.57233	0.804179	1.98587	3.11052	2.85602	0.439026	0.724291	1.2872	1.34768	1.03472	2.30673	1.65532	1.69419	1.27729	0.7361	3.02921	2.21335	1.59088	2.02626	1.68207	0.663069	1.07732	0.478178	1.78556
CCDC80	0.488546	0.619871	0.318815	0.867371	0.256683	0.387646	0.644147	0.539363	0.19977	0.839768	0.415219	0.071936	1.43983	0.690408	0.844566	0.558019	0.620384	1.51809	1.06524	0.680873	0.517207	1.19121	0.730536	1.40566
CCDC81	1.55934	1.31395	1.05811	1.56336	1.21747	0.935692	2.01857	1.66973	0.497103	0.986481	1.08528	0.762313	1.32752	1.52426	1.23254	0.979227	1.1226	1.11402	1.37393	1.68997	1.41311	1.37738	1.34332	1.26815
CCDC82	27.10765	31.5480983132	41.42674	40.6654350031452	32.234933	34.945088	33.13451	30.186322	34.58598	25.743401	34.63981318	21.433348	36.6455	39.27062	32.518529	36.0956	36.692803	38.248711	32.04597	32.005932	27.473426	38.191452	36.603573	35.0262
CCDC83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC85A	9.405085	14.304687	25.203201	16.30577	22.983181	21.945302	19.526814	20.104636	24.922888	15.192265	27.716916	11.475548	26.289244219	17.744428	25.6968400145866	33.78740227291	11.33284874	24.133286	16.831047	17.3768810045	27.413397	11.582539	14.277731	21.107677
