sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
ABCA1	11.609416188362	13.8807348133	15.1142000719008	16.727629	14.97362065	14.537303789	13.24218254	16.4819917473577	13.75678215009	22.98304	12.360901804	12.297551675	13.6806600025345	10.9678346	13.60046	11.4140208695619	13.151587447	14.84431	20.5587370111066	15.23020398745	18.1755058064766	10.8637348922354	13.02666	15.745417963
ABCA12	0.0357214	0.017595	0.0542844	0.0385479	0	0.0360017	0.0548495	0.0183756	0	0	0.0354873	0	0.0326856	0.050349	0.0172646	0.0715119	0	0.0894895	0	0	0	0.0283279	0.0285361	0
ABCA13	0	0	0	0.0587631	0.0114143	0	0	0	0	0	0	0	0.0199256	0	0.0105271	0	0.010603	0	0	0	0	0	0	0
ABCA2	58.135583	53.77782	50.72271	55.72746	46.6523	51.723964	61.61605	47.94343	47.70714	64.61558	70.49458	68.254228	55.60336	74.26711	64.4951	62.506675	89.44609	73.10837	61.86033	56.984573	52.357668	67.26251	56.798528	60.051241
ABCA3	79.3049	68.3276	67.2455	78.8318	66.8727	58.3493	65.6574	53.4518	51.8918	34.7908	73.5481	59.278	56.8785	71.3807	63.0825	82.3722	69.7529	74.807	46.7268	48.0479	45.7758	68.2985	60.3407	47.0151
ABCA4	0.0818067	0.302292	0.145082	0.220748	0.235942	0.329894	0.335058	0.399878	0.27278	0.204803	0.284365	0.148984	0.65518	0.211437	0.21751	0.225133	0.0994739	0.478332	0.103921	0.433568	0.0178047	0.324424	0.294157	0.2638
ABCA5	3.34654401992462	4.0167662	5.47283000018263	4.67589012168255	5.981433207	5.4588403333534	3.5695600189928	4.94620122	3.910977427	5.40827	4.5917320329938	3.2292631725	4.36862956	4.34118	6.8041895	4.504090408517	3.6897010614	6.647116	8.57873000161531	5.4313150467	7.25093265323	3.454106	2.91790889096179	6.3947236807
ABCA6	0.933759	0.865046	2.98496	1.95595	2.73305	0.942241	0.927903	2.12714	0.809373	0.595462	1.43196	0.732323	1.03695	1.51677	1.64261	2.23542	0.30272	0.993527	0.911218	0.575331	1.6271	1.16759	0.70146	1.11351
ABCA7	3.78747	4.08285	3.584	3.47838	3.44574	4.07173	5.05681	3.35938	3.03034	2.72421	4.17699	4.65866	4.71188	6.49023	4.12741	3.60163	6.188	6.25776	3.03045	2.79117	2.89664	6.55595	4.49803	3.52237
ABCA9	1.53448	1.81039	2.19273	1.57544	0.58078	2.05534	1.70084	0.388466	1.39068	2.09171	1.29845	0.130482	1.75088	2.88543	1.19225	0.402611	0.415951	0.967058	2.30173	0.755856	0.568832	1.2773	3.49894	1.05472
ABCB1	17.491879	14.408828	18.43239	10.243783	11.90997	13.11486	13.38785	9.365076	12.250836	10.47532	11.16765	7.15464	16.95855	11.599828	12.57164	6.75793	10.36506	13.323686	13.043744	11.306363	14.671749	10.87309	17.716223	11.209348
ABCB10	11.4912	17.5905	16.6523	14.4353	17.9748	19.6268	14.4773	15.7719	17.0156	20.8065	9.14184	11.0787	16.3616	16.537	21.1446	13.1741	13.7915	16.3844	17.1543	17.9787	18.3823	14.5329	16.3974	17.6772
ABCB11	0.5362938	0.330726	0.4762921	0.4346217	0.4930024	0.3722827	0.54997	0.414464	0.4796279	0.13441774	0.06648111	0.0345844	0	0.2838247	0.324447	0.13401331	0.06519291	0.14018476	0.2273407	0.05929494	0.5551314	0.2926692	0.160933	0.08651273
ABCB5	0.11474	0	0	0	0	0.193197	0	0.275953	0.620576	0.191807	0.151639	0	0	0.107988	0.259261	0.0764266	0	0	0.291964	0.101538	0.0667128	0.0303687	0	0.34556
ABCB6	34.5799	26.7759	33.1084	41.3597	37.6514	31.8411	29.1917	33.4926	26.9704	23.2443	38.0368	23.1351	27.9158	32.1092	29.6995	45.2831	33.136	31.2858	25.4273	29.8941	32.9015	36.7519	27.1982	30.7215
ABCB7	6.86236	9.72584	11.8354	10.6767	8.95799	11.4664	11.8465	10.4932	8.65594	11.0837	7.44176	10.3289	10.3506	9.358	9.50057	8.56685	8.26464	12.1575	12.9346	11.2397	12.1017	10.9903	9.34918	11.4373
ABCB8	26.3927	16.8439	17.5149	22.0857	21.166	16.0408	21.7561	22.2412	20.0297	23.7961	19.742	26.8985	20.4034	22.155	24.6235	24.4492	26.0957	22.0542	23.0115	24.5977	23.4994	25.9804	24.1168	27.3993
ABCB9	69.529663	49.57628	54.378431	65.30603	51.00978	47.034779	51.60956	54.23457	51.92889	63.69673	56.91649	65.486	53.622826	51.867402	62.09065	62.52416	65.407107	59.85864	54.28475	48.70854	47.41011	61.11699	60.52949	54.01197
ABCC1	1.80893000073932	2.6798088	2.4511600120811	2.723060117142	1.9226867968	3.42423	1.87178486	2.73014	1.66942	2.809296	3.32713	3.113355	2.703058	3.01015	2.631933	2.17461	3.85978	3.615156	2.701015	2.46208	3.533654286	2.3063415609	2.50697	3.38381
ABCC10	16.7399	12.057	12.8815	12.9341	11.403	8.82416	9.93184	9.90454	6.43526	11.5262	15.9745	14.1967	12.2726	14.226	13.7287	11.5883	21.3628	13.1546	12.9743	12.5179	10.3083	12.6182	8.90841	13.583
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0.140008	0	0.0319297	0	0.101763	0	0	0	0	0	0	0.0271547	0
ABCC2	0.321315	0.54738	0.681548	0.694146	0.920135	0.707495	0.688556	0.691918	0.640639	0.20492	0.0289822	0.0302214	0.133823	0.219778	0.565281	0.175252	0.113636	0.146535	0.445618	0.180778	0.636308	0.254988	0.280336	0.0753798
ABCC3	0.0541995	0.187054	0.0549691	0	0.142234	0.300763	0.138839	0.0279043	0.0258356	0	0	0.0280771	0.0496487	0.0764487	0.157301	0.0271033	0.0527152	0	0	0	0.0236081	0.0430059	0.0216687	0.0174819
ABCC4	0.213415	0.351038	0.21666	0.192206	0.635453	0.338995	0.109436	0.586451	0.135758	0.235621	0.26636	0.554161	0.424008	0.0631728	0.162492	0.268467	0.242115	0.280836	0.341582	0.157339	0.146334	0.225904	0.284649	0.324948
ABCC5	27.2608900005489	29.86223	31.95998	28.4971000241852	28.27014	33.1533400103691	31.58686	32.2488	31.51231	42.21321	37.8089059747895	31.004415	33.7419	35.30555	28.719797	34.68568	42.87146	49.31647	41.013798522551	35.50255438526	41.03927	39.67989	34.531944169	34.565957
ABCC6	0.118253	0.320743	2.72924	3.32114	0.31043	0.62656	0.242399	0.669849	0.479252	0.355546	0.0879932	0.366951	0.135445	0.166829	1.14425	2.42396	4.34153	0.197747	0.250563	0.0784148	0.592494	0.58653	0.354665	0.0953639
ABCC8	44.280380003739	42.10366	19.77615	30.10513	43.62631	27.05060223153	31.090200043608	30.22664	31.795091	31.53516	37.29324	29.43255	20.60704	27.172838	29.04743	36.46676	38.3465	34.546109	33.60711	28.72775	28.225064	32.9568	24.809113	27.503753
ABCC9	1.24265	0.994794	1.45591	1.5088	1.75103	1.31135	1.15298	1.05889	1.35021	2.35246	1.23429	0.485283	1.11949	1.40503	3.09722	1.16595	1.15218	2.8055	1.87438	1.62916	2.65357	2.29447	2.1098	2.07863
ABCD1	6.88997	5.50804	6.7263	5.83452	4.14975	4.35408	5.44471	4.6284	4.28626	4.50388	4.84853	4.45444	5.32665	7.29915	5.92962	4.88811	8.02035	6.19346	5.69748	6.30239	5.14295	6.30135	7.18955	6.73003
